TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Temperature,nc,No trend components,16,The process contains a unit root.,0.9982826233632144,2.5231812560445555
Adf,Temperature,nc,No trend components,17,The process contains a unit root.,0.9741072468012851,1.612451752904458
Adf,Temperature,nc,No trend components,18,The process contains a unit root.,0.9798308733246758,1.7201939952191379
Adf,Temperature,nc,No trend components,19,The process contains a unit root.,0.9580348041940661,1.3842134218178592
Adf,Temperature,nc,No trend components,20,The process contains a unit root.,0.9504229910889483,1.2985506693973687
Adf,Temperature,nc,No trend components,21,The process contains a unit root.,0.906987266720509,0.9373887753568181
Adf,Temperature,nc,No trend components,22,The process contains a unit root.,0.9424538963362539,1.2186264505450435
Adf,Temperature,nc,No trend components,23,The process contains a unit root.,0.9521563457096807,1.3171612585162653
Adf,Temperature,nc,No trend components,24,The process contains a unit root.,0.9705662422044686,1.5545599831143597
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,0,The process contains a unit root.,1.3460711537760948e-06,-6.457839511891315
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,1,The process contains a unit root.,0.0009608585770573255,-5.016666074383205
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,2,The process contains a unit root.,0.005901776587164566,-4.528719273553988
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,3,The process contains a unit root.,0.0005606600585450663,-5.150423493814989
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,4,The process contains a unit root.,0.04807524027218633,-3.8473245221742434
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,5,The process contains a unit root.,0.25477981516888193,-3.0884673477939826
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,6,The process contains a unit root.,0.4316632556936706,-2.7399880562589076
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,7,The process contains a unit root.,0.39091412086698396,-2.813498133009524
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,8,The process contains a unit root.,0.6384713232405692,-2.3768826228988624
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,9,The process contains a unit root.,0.5657133730235984,-2.5063709399341034
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,10,The process contains a unit root.,0.46799293549069954,-2.6760312462789297
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,11,The process contains a unit root.,0.5924390871459069,-2.4594612782839738
Adf,Temperature,ctt,Include a constant and linear and quadratic time trends,12,The process contains a unit root.,0.44601323743471105,-2.714588394869773
